unique	gene-symbol	entrez-id	transcript	chromosome	start-loc	end-loc	strand
ARL5B|221079	ARL5B	221079		10	18948313	18966940	+
ARL5C|390790	ARL5C	390790		17	37313148	37323318	-
ARL6IP1|23204	ARL6IP1	23204		16	18802991	18812857	-
ARL6IP4|51329	ARL6IP4	51329		12	123464880	123467461	+
ARL6IP5|10550	ARL6IP5	10550		3	69134090	69155237	+
ARL6IP6|151188	ARL6IP6	151188		2	153574423	153617767	+
ARL6|84100	ARL6	84100		3	97483595	97519951	+
ARL8A|127829	ARL8A	127829		1	202101977	202113866	-
ARL8B|55207	ARL8B	55207		3	5163930	5222599	+
ARL9|132946	ARL9	132946		4	57371375	57390058	+
ARMC10|83787	ARMC10	83787		7	102715328	102740205	+
ARMC1|55156	ARMC1	55156		8	66515072	66546432	-
ARMC2|84071	ARMC2	84071		6	109169619	109295350	+
ARMC3|219681	ARMC3	219681		10	23216954	23326512	+
ARMC4|55130	ARMC4	55130		10	28101099	28287977	-
ARMC5|79798	ARMC5	79798		16	31469594	31478487	+
ARMC6|93436	ARMC6	93436		19	19144471	19170310	+
ARMC7|79637	ARMC7	79637		17	73106082	73126360	+
ARMC8|25852	ARMC8	25852		3	137906148	138016219	+
ARMC9|80210	ARMC9	80210		2	232063342	232238606	+
ARMCX1|51309	ARMCX1	51309		X	100805514	100809673	+
ARMCX2|9823	ARMCX2	9823		X	100910268	100914863	-
ARMCX3|51566	ARMCX3	51566		X	100878120	100882831	+
ARMCX5|64860	ARMCX5	64860		X	101854096	101859083	+
ARMCX6|54470	ARMCX6	54470		X	100870114	100872991	-
ARMS2|387715	ARMS2	387715		10	124214179	124216867	+
ARNT2|9915	ARNT2	9915		15	80696692	80890272	+
ARNTL2|56938	ARNTL2	56938		12	27485853	27573466	+
ARNTL|406	ARNTL	406		11	13299325	13408810	+
ARNT|405	ARNT	405		1	150782186	150849186	-
ARPC1A|10552	ARPC1A	10552		7	98923510	98985884	+
ARPC1B|10095	ARPC1B	10095		7	98972329	98992402	+
ARPC2|10109	ARPC2	10109		2	219081874	219119070	+
ARPC3|10094	ARPC3	10094		12	110872707	110888158	-
ARPC4|10093	ARPC4	10093		3	9834227	9896822	+
ARPC5L|81873	ARPC5L	81873		9	127626267	127639695	+
ARPC5|10092	ARPC5	10092		1	183595333	183604985	-
ARPM1|84517	ARPM1	84517		3	169484713	169487683	-
ARPP19|10776	ARPP19	10776		15	52839432	52861364	-
ARPP21|10777	ARPP21	10777		3	35681081	35835987	+
ARR3|407	ARR3	407		X	69488185	69501690	+
ARRB1|408	ARRB1	408		11	74976482	75062873	-
ARRB2|409	ARRB2	409		17	4613789	4624794	+
ARRDC1|92714	ARRDC1	92714		9	140500096	140509811	+
ARRDC2|27106	ARRDC2	27106		19	18111944	18124905	+
ARRDC3|57561	ARRDC3	57561		5	90664541	90679149	-
ARRDC4|91947	ARRDC4	91947		15	98462784	98517067	+
ARRDC5|645432	ARRDC5	645432		19	4890450	4902879	-
ARSA|410	ARSA	410		22	51063450	51066607	-
ARSB|411	ARSB	411		5	78073039	78282357	-
ARSD|414	ARSD	414		X	2822012	2847392	-
ARSE|415	ARSE	415		X	2852674	2886286	-
ARSF|416	ARSF	416		X	2959512	3030747	+
ARSG|22901	ARSG	22901		17	66255323	66417000	+
ARSH|347527	ARSH	347527		X	2924654	2951425	+
ARSI|340075	ARSI	340075		5	149675909	149682525	-
ARSJ|79642	ARSJ	79642		4	114821440	114900878	-
ARSK|153642	ARSK	153642		5	94890825	94940805	+
ART1|417	ART1	417		11	3666361	3685646	+
ART3|419	ART3	419		4	76932337	77033954	+
ART4|420	ART4	420		12	14982245	14996413	-
ART5|116969	ART5	116969		11	3659736	3663546	-
ARTN|9048	ARTN	9048		1	44398992	44402911	+
ARV1|64801	ARV1	64801		1	231114823	231136471	+
ARVCF|421	ARVCF	421		22	19957421	20004309	-
ARX|170302	ARX	170302		X	25021815	25034065	-
AR|367	AR	367		X	66763874	66944119	+
AS3MT|57412	AS3MT	57412		10	104613967	104661653	+
ASAH1|427	ASAH1	427		8	17913925	17942507	-
ASAH2B|653308	ASAH2B	653308		10	52499696	52514567	+
ASAH2|56624	ASAH2	56624		10	51947002	52008370	-
ASAM|79827	ASAM	79827		11	122943035	123066007	-
ASAP1IT1|29065	ASAP1IT1	29065		8	131307601	131308779	-
ASAP1|50807	ASAP1	50807		8	131064353	131414216	-
ASAP2|8853	ASAP2	8853		2	9346894	9545812	+
ASAP3|55616	ASAP3	55616		1	23755056	23811057	-
ASB10|136371	ASB10	136371		7	150872785	150884919	-
ASB11|140456	ASB11	140456		X	15301627	15333727	-
ASB12|142689	ASB12	142689		X	63444076	63450487	-
ASB13|79754	ASB13	79754		10	5680820	5708558	-
ASB14|142686	ASB14	142686		3	57302379	57326686	-
ASB15|142685	ASB15	142685		7	123241921	123277932	+
ASB16|92591	ASB16	92591		17	42248074	42256451	+
ASB17|127247	ASB17	127247		1	76384560	76398116	-
ASB18|401036	ASB18	401036		2	237103516	237172988	-
ASB1|51665	ASB1	51665		2	239335626	239360890	+
ASB2|51676	ASB2	51676		14	94400513	94443076	-
ASB3|51130	ASB3	51130		2	53897118	54087170	-
ASB4|51666	ASB4	51666		7	95115284	95167069	+
ASB5|140458	ASB5	140458		4	177134828	177190275	-
ASB6|140459	ASB6	140459		9	132396883	132404444	-
ASB7|140460	ASB7	140460		15	101142755	101191902	+
ASB8|140461	ASB8	140461		12	48541575	48551377	-
ASB9|140462	ASB9	140462		X	15262111	15288589	-
ASCC1|51008	ASCC1	51008		10	73856278	73976892	-
ASCC2|84164	ASCC2	84164		22	30184603	30234254	-
ASCC3|10973	ASCC3	10973		6	100956609	101329224	-
ASCL1|429	ASCL1	429		12	103351452	103354287	+
ASCL2|430	ASCL2	430		11	2289729	2292182	-
ASCL3|56676	ASCL3	56676		11	8959119	8964580	-
ASCL4|121549	ASCL4	121549		12	108168162	108170420	+
ASF1A|25842	ASF1A	25842		6	119215241	119230333	+
ASF1B|55723	ASF1B	55723		19	14230322	14247440	-
ASFMR1|100126270	ASFMR1	100126270		X	146990949	147003676	-
ASGR1|432	ASGR1	432		17	7076752	7082883	-
ASGR2|433	ASGR2	433		17	7004641	7018292	-
ASH1L|55870	ASH1L	55870		1	155305053	155532585	-
ASH2L|9070	ASH2L	9070		8	37963011	37997227	+
ASIP|434	ASIP	434		20	32848171	32857148	+
ASL|435	ASL	435		7	65540776	65558321	+
ASMTL|8623	ASMTL	8623		X	1522032	1572649	-
ASMT|438	ASMT	438		X	1714348	1761973	+
ASNA1|439	ASNA1	439		19	12848306	12859138	+
ASNSD1|54529	ASNSD1	54529		2	190526125	190535556	+
ASNS|440	ASNS	440		7	97481443	97501854	-
ASPA|443	ASPA	443		17	3377404	3402699	+
ASPDH|554235	ASPDH	554235		19	51014858	51017947	-
ASPG|374569	ASPG	374569		14	104552048	104579098	+
ASPHD1|253982	ASPHD1	253982		16	29912147	29930953	+
ASPHD2|57168	ASPHD2	57168		22	26825280	26840978	+
ASPH|444	ASPH	444		8	62413116	62627199	-
ASPM|259266	ASPM	259266		1	197053258	197115824	-
ASPN|54829	ASPN	54829		9	95218489	95244788	-
ASPRV1|151516	ASPRV1	151516		2	70187226	70314147	-
ASPSCR1|79058	ASPSCR1	79058		17	79935426	79975280	+
ASRGL1|80150	ASRGL1	80150		11	62104774	62160885	+
ASS1|445	ASS1	445		9	133320094	133376660	+
ASTE1|28990	ASTE1	28990		3	130732721	130745646	-
ASTL|431705	ASTL	431705		2	96789590	96804175	-
ASTN1|460	ASTN1	460		1	176826441	177134024	-
ASTN2|23245	ASTN2	23245		9	119187507	120177317	-
ASXL1|171023	ASXL1	171023		20	30946153	31027121	+
ASXL2|55252	ASXL2	55252		2	25962253	26101312	-
ASXL3|80816	ASXL3	80816		18	31158541	31327399	+
ASZ1|136991	ASZ1	136991		7	117003276	117067577	-
ATAD1|84896	ATAD1	84896		10	89512875	89577917	-
ATAD2B|54454	ATAD2B	54454		2	23971541	24149934	-
ATAD2|29028	ATAD2	29028		8	124332093	124428590	-
ATAD3A|55210	ATAD3A	55210		1	1447555	1470064	+
ATAD3B|83858	ATAD3B	83858		1	1407164	1431581	+
ATAD3C|219293	ATAD3C	219293		1	1385069	1405538	+
ATAD5|79915	ATAD5	79915		17	29159023	29222295	+
ATCAY|85300	ATCAY	85300		19	3880618	3928078	+
ATE1|11101	ATE1	11101		10	123502626	123688217	-
ATF1|466	ATF1	466		12	51157819	51214906	+
ATF2|1386	ATF2	1386		2	175939008	176032897	-
ATF3|467	ATF3	467		1	212738697	212794114	+
ATF4|468	ATF4	468		22	39916569	39918690	+
ATF5|22809	ATF5	22809		19	50431974	50437192	+
ATF6B|1388	ATF6B	1388		6	32065573	32096017	-
ATF6|22926	ATF6	22926		1	161736084	161932960	+
ATF7IP2|80063	ATF7IP2	80063		16	10479912	10577494	+
ATF7IP|55729	ATF7IP	55729		12	14518611	14651696	+
ATF7|11016	ATF7	11016		12	53901640	54020199	-
ATG10|83734	ATG10	83734		5	81267844	81551211	+
ATG12|9140	ATG12	9140		5	115165818	115177520	-
ATG16L1|55054	ATG16L1	55054		2	234160217	234204319	+
ATG16L2|89849	ATG16L2	89849		11	72525451	72554715	+
ATG2A|23130	ATG2A	23130		11	64662005	64684722	-
ATG2B|55102	ATG2B	55102		14	96747596	96829678	-
ATG3|64422	ATG3	64422		3	112251360	112280485	-
ATG4A|115201	ATG4A	115201		X	107334934	107397895	+
ATG4B|23192	ATG4B	23192		2	242577027	242613264	+
ATG4C|84938	ATG4C	84938		1	63249803	63330049	+
ATG4D|84971	ATG4D	84971		19	10654593	10664093	+
ATG5|9474	ATG5	9474		6	106632354	106773695	-
ATG7|10533	ATG7	10533		3	11314010	11599132	+
ATG9A|79065	ATG9A	79065		2	220082847	220094361	-
ATG9B|285973	ATG9B	285973		7	150709306	150721586	-
ATHL1|80162	ATHL1	80162		11	289138	295687	+
ATIC|471	ATIC	471		2	216176692	216214477	+
ATL1|51062	ATL1	51062		14	50999800	51099782	+
ATL2|64225	ATL2	64225		2	38522031	38604432	-
ATL3|25923	ATL3	25923		11	63396437	63439444	-
ATMIN|23300	ATMIN	23300		16	81069458	81080951	+
ATM|472	ATM	472		11	108093559	108239826	+
ATN1|1822	ATN1	1822		12	7033626	7051484	+
ATOH1|474	ATOH1	474		4	94750078	94751142	+
ATOH7|220202	ATOH7	220202		10	69990386	69991855	-
ATOH8|84913	ATOH8	84913		2	85980909	86018505	+
ATOX1|475	ATOX1	475		5	151122384	151138210	-
ATP10A|57194	ATP10A	57194		15	25923862	26110317	-
ATP10B|23120	ATP10B	23120		5	159990127	160279219	-
ATP10D|57205	ATP10D	57205		4	47487410	47595503	+
ATP11A|23250	ATP11A	23250		13	113344643	113541480	+
ATP11B|23200	ATP11B	23200		3	182511291	182639419	+
ATP11C|286410	ATP11C	286410		X	138808506	138914447	-
ATP12A|479	ATP12A	479		13	25254695	25285917	+
ATP13A1|57130	ATP13A1	57130		19	19756012	19774503	-
ATP13A2|23400	ATP13A2	23400		1	17312453	17338423	-
ATP13A3|79572	ATP13A3	79572		3	194123405	194188968	-
ATP13A4|84239	ATP13A4	84239		3	193119867	193272696	-
ATP13A5|344905	ATP13A5	344905		3	192992833	193096514	-
ATP1A1|476	ATP1A1	476		1	116915004	116947394	+
ATP1A2|477	ATP1A2	477		1	160085520	160113372	+
ATP1A3|478	ATP1A3	478		19	42470736	42498382	-
ATP1A4|480	ATP1A4	480		1	160121352	160156766	+
ATP1B1|481	ATP1B1	481		1	169075947	169101960	+
ATP1B2|482	ATP1B2	482		17	7554254	7561089	+
ATP1B3|483	ATP1B3	483		3	141595470	141645382	+
ATP1B4|23439	ATP1B4	23439		X	119495940	119516222	+
ATP2A1|487	ATP2A1	487		16	28889809	28915830	+
ATP2A2|488	ATP2A2	488		12	110719032	110788895	+
ATP2A3|489	ATP2A3	489		17	3827169	3867736	-
ATP2B1|490	ATP2B1	490		12	89981828	90049844	-
ATP2B2|491	ATP2B2	491		3	10365708	10749716	-
ATP2B3|492	ATP2B3	492		X	152801580	152848387	+
ATP2B4|493	ATP2B4	493		1	203595928	203713207	+
ATP2C1|27032	ATP2C1	27032		3	130569445	130735553	+
ATP2C2|9914	ATP2C2	9914		16	84402133	84497792	+
ATP4A|495	ATP4A	495		19	36041095	36054560	-
ATP4B|496	ATP4B	496		13	114303123	114312501	-
ATP5A1|498	ATP5A1	498		18	43664110	43684199	-
ATP5B|506	ATP5B	506		12	57031961	57039852	-
ATP5C1|509	ATP5C1	509		10	7830093	7849755	+
ATP5D|513	ATP5D	513		19	1241749	1244823	+
ATP5EP2|432369	ATP5EP2	432369		13	28519343	28519709	+
ATP5E|514	ATP5E	514		20	57603734	57607422	-
ATP5F1|515	ATP5F1	515		1	111991462	112004523	+
ATP5G1|516	ATP5G1	516		17	46970148	46973230	+
ATP5G2|517	ATP5G2	517		12	54058945	54070512	-
ATP5G3|518	ATP5G3	518		2	176040987	176046490	-
ATP5H|10476	ATP5H	10476		17	73034955	73043074	-
ATP5I|521	ATP5I	521		4	666226	668122	-
ATP5J2|9551	ATP5J2	9551		7	99055785	99063808	-
ATP5J|522	ATP5J	522		21	27096792	27107965	-
ATP5L2|267020	ATP5L2	267020		22	43035809	43036607	-
ATP5L|10632	ATP5L	10632		11	118272104	118280561	+
ATP5O|539	ATP5O	539		21	35275758	35288158	-
ATP5SL|55101	ATP5SL	55101		19	41937224	41945810	-
ATP5S|27109	ATP5S	27109		14	50779047	50802274	+
ATP6AP1L|92270	ATP6AP1L	92270		5	81575281	81614146	+
ATP6AP1|537	ATP6AP1	537		X	153656978	153664862	+
ATP6AP2|10159	ATP6AP2	10159		X	40440216	40465887	+
ATP6V0A1|535	ATP6V0A1	535		17	40610862	40674596	+
ATP6V0A2|23545	ATP6V0A2	23545		12	124196865	124246299	+
ATP6V0A4|50617	ATP6V0A4	50617		7	138391040	138482941	-
ATP6V0B|533	ATP6V0B	533		1	44440602	44443971	+
ATP6V0C|527	ATP6V0C	527		16	2563953	2570218	+
ATP6V0D1|9114	ATP6V0D1	9114		16	67471917	67515089	-
ATP6V0D2|245972	ATP6V0D2	245972		8	87111139	87166454	+
ATP6V0E1|8992	ATP6V0E1	8992		5	172410763	172461900	+
ATP6V0E2|155066	ATP6V0E2	155066		7	149570057	149577786	+
ATP6V1A|523	ATP6V1A	523		3	113465908	113530901	+
ATP6V1B1|525	ATP6V1B1	525		2	71162998	71192560	+
ATP6V1B2|526	ATP6V1B2	526		8	20054704	20079205	+
ATP6V1C1|528	ATP6V1C1	528		8	104033248	104085284	+
ATP6V1C2|245973	ATP6V1C2	245973		2	10861775	10925228	+
ATP6V1D|51382	ATP6V1D	51382		14	67761090	67826591	-
ATP6V1E1|529	ATP6V1E1	529		22	18074903	18111588	-
ATP6V1E2|90423	ATP6V1E2	90423		2	46738988	46769696	-
ATP6V1F|9296	ATP6V1F	9296		7	128502898	128505902	+
ATP6V1G1|9550	ATP6V1G1	9550		9	117349994	117361151	+
ATP6V1G2|534	ATP6V1G2	534		6	31512242	31514627	-
ATP6V1G3|127124	ATP6V1G3	127124		1	198492356	198510075	-
ATP6V1H|51606	ATP6V1H	51606		8	54628116	54755850	-
ATP7A|538	ATP7A	538		X	77166194	77305891	+
ATP7B|540	ATP7B	540		13	52506806	52585630	-
ATP8A1|10396	ATP8A1	10396		4	42410392	42659122	-
ATP8A2|51761	ATP8A2	51761		13	25946209	26595419	+
ATP8B1|5205	ATP8B1	5205		18	55313661	55399039	-
ATP8B2|57198	ATP8B2	57198		1	154298036	154323779	+
ATP8B3|148229	ATP8B3	148229		19	1782076	1812270	-
ATP8B4|79895	ATP8B4	79895		15	50150436	50411419	-
ATP8B5P|158381	ATP8B5P	158381		9	35406752	35483026	+
ATP9A|10079	ATP9A	10079		20	50213314	50384908	-
ATP9B|374868	ATP9B	374868		18	76829397	77138280	+
ATPAF1|64756	ATPAF1	64756		1	47098413	47134099	-
ATPAF2|91647	ATPAF2	91647		17	17918373	17942480	-
ATPBD4|89978	ATPBD4	89978		15	35663171	35838404	-
ATPIF1|93974	ATPIF1	93974		1	28562611	28564609	+
ATRIP|84126	ATRIP	84126		3	48488141	48507708	+
ATRNL1|26033	ATRNL1	26033		10	116853124	117708494	+
ATRN|8455	ATRN	8455		20	3451665	3631769	+
ATRX|546	ATRX	546		X	76760359	77041719	-
ATR|545	ATR	545		3	142168078	142297668	-
ATXN10|25814	ATXN10	25814		22	46067687	46240829	+
ATXN1L|342371	ATXN1L	342371		16	71879899	71919174	+
ATXN1|6310	ATXN1	6310		6	16299344	16761721	-
ATXN2L|11273	ATXN2L	11273		16	28834414	28848556	+
ATXN2|6311	ATXN2	6311		12	111890019	112037480	-
ATXN3L|92552	ATXN3L	92552		X	13336770	13338518	-
ATXN3|4287	ATXN3	4287		14	92524897	92572965	-
ATXN7L1|222255	ATXN7L1	222255		7	105245221	105517031	-
ATXN7L2|127002	ATXN7L2	127002		1	110026561	110035418	+
ATXN7L3B|552889	ATXN7L3B	552889		12	74931551	74935223	+
ATXN7L3|56970	ATXN7L3	56970		17	42269174	42275529	-
ATXN7|6314	ATXN7	6314		3	63850233	63989134	+
ATXN8OS|6315	ATXN8OS	6315		13	70681345	70713885	+
AUH|549	AUH	549		9	93976099	94124206	-
AUP1|550	AUP1	550		2	74753776	74756974	-
AURKAIP1|54998	AURKAIP1	54998		1	1309110	1310818	-
AURKAPS1|6791	AURKAPS1	6791		1	220439521	220441057	-
AURKA|6790	AURKA	6790		20	54944445	54967351	-
AURKB|9212	AURKB	9212		17	8108050	8113883	-
AURKC|6795	AURKC	6795		19	57742377	57746915	+
AUTS2|26053	AUTS2	26053		7	69063905	70257884	+
AVEN|57099	AVEN	57099		15	34158429	34331303	-
AVIL|10677	AVIL	10677		12	58191443	58209852	-
AVL9|23080	AVL9	23080		7	32535176	33079034	+
AVPI1|60370	AVPI1	60370		10	99437181	99447015	-
AVPR1A|552	AVPR1A	552		12	63540216	63546590	-
AVPR1B|553	AVPR1B	553		1	206224283	206231482	+
AVPR2|554	AVPR2	554		X	153167985	153172619	+
AVP|551	AVP	551		20	3063203	3065370	-
AWAT1|158833	AWAT1	158833		X	69454505	69460510	+
AWAT2|158835	AWAT2	158835		X	69260392	69269788	-
AXIN1|8312	AXIN1	8312		16	337440	402464	-
AXIN2|8313	AXIN2	8313		17	63524685	63637183	-
AXL|558	AXL	558		19	41725108	41767670	+
AZGP1|563	AZGP1	563		7	99564352	99573687	-
AZI1|22994	AZI1	22994		17	79163393	79196751	-
AZI2|64343	AZI2	64343		3	28363847	28390618	-
AZIN1|51582	AZIN1	51582		8	103838537	103876397	-
AZU1|566	AZU1	566		19	827831	832017	+
B2M|567	B2M	567		15	45003685	45010356	+
B3GALNT1|8706	B3GALNT1	8706		3	160801673	160823160	-
B3GALNT2|148789	B3GALNT2	148789		1	235610533	235667781	-
B3GALT1|8708	B3GALT1	8708		2	168675182	168727366	+
B3GALT2|8707	B3GALT2	8707		1	193147861	193155743	-
B3GALT4|8705	B3GALT4	8705		6	33244917	33246602	+
B3GALT5|10317	B3GALT5	10317		21	40928369	41034815	+
B3GALT6|126792	B3GALT6	126792		1	1167629	1170418	+
B3GALTL|145173	B3GALTL	145173		13	31774112	31906409	+
B3GAT1|27087	B3GAT1	27087		11	134248400	134281812	-
B3GAT2|135152	B3GAT2	135152		6	71568019	71666788	-
B3GAT3|26229	B3GAT3	26229		11	62382769	62389449	-
B3GNT1|11041	B3GNT1	11041		11	66112844	66115161	-
B3GNT2|10678	B3GNT2	10678		2	62423262	62451864	+
B3GNT3|10331	B3GNT3	10331		19	17905658	17924385	+
B3GNT4|79369	B3GNT4	79369		12	122688228	122692083	+
B3GNT5|84002	B3GNT5	84002		3	182971032	182991178	+
B3GNT6|192134	B3GNT6	192134		11	76745435	76753003	+
B3GNT7|93010	B3GNT7	93010		2	232260335	232265873	+
B3GNT8|374907	B3GNT8	374907		19	41931265	41934635	-
B3GNT9|84752	B3GNT9	84752		16	67182006	67184902	-
B3GNTL1|146712	B3GNTL1	146712		17	80900031	81009686	-
B4GALNT1|2583	B4GALNT1	2583		12	58019551	58026985	-
B4GALNT2|124872	B4GALNT2	124872		17	47209822	47247351	+
B4GALNT3|283358	B4GALNT3	283358		12	569543	671058	+
B4GALNT4|338707	B4GALNT4	338707		11	369795	382116	+
B4GALT1|2683	B4GALT1	2683		9	33110639	33167356	-
B4GALT2|8704	B4GALT2	8704		1	44444866	44456839	+
B4GALT3|8703	B4GALT3	8703		1	161141101	161147314	-
B4GALT4|8702	B4GALT4	8702		3	118930587	118959752	-
B4GALT5|9334	B4GALT5	9334		20	48249485	48330421	-
B4GALT6|9331	B4GALT6	9331		18	29202210	29264686	-
B4GALT7|11285	B4GALT7	11285		5	177027172	177037323	+
B9D1|27077	B9D1	27077		17	19240867	19281495	-
B9D2|80776	B9D2	80776		19	41860322	41870078	-
BAALC|79870	BAALC	79870		8	104152921	104242530	+
BAAT|570	BAAT	570		9	104122700	104147287	-
BACE1|23621	BACE1	23621		11	117156417	117186972	-
BACE2|25825	BACE2	25825		21	42539728	42648523	+
BACH1|571	BACH1	571		21	30671220	30734217	+
BACH2|60468	BACH2	60468		6	90636248	91006562	-
BAD|572	BAD	572		11	64037301	64052176	-
BAG1|573	BAG1	573		9	33252472	33264761	-
BAG2|9532	BAG2	9532		6	57037104	57050010	+
BAG3|9531	BAG3	9531		10	121410882	121437327	+
BAG4|9530	BAG4	9530		8	38034106	38068537	+
BAG5|9529	BAG5	9529		14	104022889	104029151	-
BAGE2|85319	BAGE2	85319		21	11020842	11098925	-
BAGE|574	BAGE	574		21	11057796	11098937	-
BAHCC1|57597	BAHCC1	57597		17	79373540	79433358	+
BAHD1|22893	BAHD1	22893		15	40731920	40760441	+
BAI1|575	BAI1	575		8	143545377	143626367	+
BAI2|576	BAI2	576		1	32192719	32229648	-
BAI3|577	BAI3	577		6	69345632	70099402	+
BAIAP2L1|55971	BAIAP2L1	55971		7	97920964	98030427	-
BAIAP2L2|80115	BAIAP2L2	80115		22	38480897	38506676	-
BAIAP2|10458	BAIAP2	10458		17	79008947	79091232	+
BAIAP3|8938	BAIAP3	8938		16	1383646	1399442	+
BAK1|578	BAK1	578		6	33540324	33548070	-
BAMBI|25805	BAMBI	25805		10	28966424	28971868	+
BANF1|8815	BANF1	8815		11	65769550	65771616	+
BANF2|140836	BANF2	140836		20	17674320	17716517	+
BANK1|55024	BANK1	55024		4	102341118	102995967	+
BANP|54971	BANP	54971		16	87984238	88110923	+
BAP1|8314	BAP1	8314		3	52435027	52444009	-
BARD1|580	BARD1	580		2	215593275	215674428	-
BARHL1|56751	BARHL1	56751		9	135457993	135465640	+
BARHL2|343472	BARHL2	343472		1	91177580	91182794	-
BARX1|56033	BARX1	56033		9	96713911	96717608	-
BARX2|8538	BARX2	8538		11	129245881	129322173	+
BASE|317716	BASE	317716		20	31781411	31798268	+
BASP1|10409	BASP1	10409		5	17217750	17276935	+
BAT1|7919	BAT1	7919		6	31497998	31514627	-
BAT2L1|84726	BAT2L1	84726		9	134269600	134375573	+
BAT2L2|23215	BAT2L2	23215		1	171454666	171562649	+
BAT2|7916	BAT2	7916		6	31588450	31605553	+
BAT3|7917	BAT3	7917		6	31606806	31620477	-
BAT4|7918	BAT4	7918		6	31629863	31634060	-
BAT5|7920	BAT5	7920		6	31654736	31681842	-
BATF2|116071	BATF2	116071		11	64755417	64764517	-
BATF3|55509	BATF3	55509		1	212859760	212873327	-
BATF|10538	BATF	10538		14	75988784	76013327	+
BAX|581	BAX	581		19	49458117	49465054	+
BAZ1A|11177	BAZ1A	11177		14	35221939	35344853	-
BAZ1B|9031	BAZ1B	9031		7	72854742	72936608	-
BAZ2A|11176	BAZ2A	11176		12	56989380	57030163	-
BAZ2B|29994	BAZ2B	29994		2	160175492	160568946	-
BBC3|27113	BBC3	27113		19	47724080	47736023	-
BBOX1|8424	BBOX1	8424		11	27062509	27149354	+
BBS10|79738	BBS10	79738		12	76738266	76742222	-
BBS12|166379	BBS12	166379		4	123653857	123666097	+
BBS1|582	BBS1	582		11	66276550	66301084	+
BBS2|583	BBS2	583		16	56518259	56554008	-
BBS4|585	BBS4	585		15	72978526	73030816	+
BBS5|129880	BBS5	129880		2	170336006	170363164	+
BBS7|55212	BBS7	55212		4	122745639	122791642	-
BBS9|27241	BBS9	27241		7	33169152	33645680	+
BBX|56987	BBX	56987		3	107241783	107530047	+
BCAM|4059	BCAM	4059		19	45312338	45324677	+
BCAN|63827	BCAN	63827		1	156611740	156629318	+
BCAP29|55973	BCAP29	55973		7	107220422	107263762	+
BCAP31|10134	BCAP31	10134		X	152965947	152990201	-
BCAR1|9564	BCAR1	9564		16	75262929	75301951	-
BCAR3|8412	BCAR3	8412		1	94027351	94312706	-
BCAR4|400500	BCAR4	400500		16	11913694	11922689	-
BCAS1|8537	BCAS1	8537		20	52560079	52687304	-
BCAS2|10286	BCAS2	10286		1	115110183	115124265	-
BCAS3|54828	BCAS3	54828		17	58755172	59470198	+
BCAS4|55653	BCAS4	55653		20	49411467	49493713	+
BCAT1|586	BCAT1	586		12	24964281	25102308	-
BCAT2|587	BCAT2	587		19	49298320	49314301	-
BCCIP|56647	BCCIP	56647		10	127512104	127542263	+
BCDIN3D|144233	BCDIN3D	144233		12	50229827	50236912	-
BCHE|590	BCHE	590		3	165490694	165555253	-
BCKDHA|593	BCKDHA	593		19	41882438	41930909	+
BCKDHB|594	BCKDHB	594		6	80816344	81055987	+
BCKDK|10295	BCKDK	10295		16	31119662	31124110	+
BCL10|8915	BCL10	8915		1	85731461	85743583	-
BCL11A|53335	BCL11A	53335		2	60678303	60780633	-
BCL11B|64919	BCL11B	64919		14	99635627	99737822	-
BCL2A1|597	BCL2A1	597		15	80253233	80263643	-
BCL2L10|10017	BCL2L10	10017		15	52401824	52404972	-
BCL2L11|10018	BCL2L11	10018		2	111878491	111926022	+
BCL2L12|83596	BCL2L12	83596		19	50168399	50177172	+
BCL2L13|23786	BCL2L13	23786		22	18111682	18211987	+
BCL2L14|79370	BCL2L14	79370		12	12223878	12363947	+
BCL2L15|440603	BCL2L15	440603		1	114419437	114430169	-
BCL2L1|598	BCL2L1	598		20	30252263	30311729	-
BCL2L2|599	BCL2L2	599		14	23776012	23780966	+
BCL2|596	BCL2	596		18	60790579	60986657	-
BCL3|602	BCL3	602		19	45251978	45263300	+
BCL6B|255877	BCL6B	255877		17	6926369	6932961	+
BCL6|604	BCL6	604		3	187439165	187463475	-
BCL7A|605	BCL7A	605		12	122459861	122499948	+
BCL7B|9275	BCL7B	9275		7	72950686	72972024	-
BCL7C|9274	BCL7C	9274		16	30845373	30905399	-
BCL8|606	BCL8	606		15	20870056	20961480	-
BCL9L|283149	BCL9L	283149		11	118766852	118781613	-
BCL9|607	BCL9	607		1	147013182	147098013	+
BCLAF1|9774	BCLAF1	9774		6	136578001	136610989	-
BCMO1|53630	BCMO1	53630		16	81272296	81324747	+
BCO2|83875	BCO2	83875		11	112046208	112095421	+
BCORL1|63035	BCORL1	63035		X	129116669	129191601	+
BCORL2|286554	BCORL2	286554		Y	21617317	21665039	-
BCOR|54880	BCOR	54880		X	39910501	40036582	-
BCR|613	BCR	613		22	23522552	23660223	+
BCS1L|617	BCS1L	617		2	219523528	219528165	+
BCYRN1|618	BCYRN1	618		X	70430035	70948962	-
BDH1|622	BDH1	622		3	197236655	197300194	-
BDH2|56898	BDH2	56898		4	103998783	104021024	-
BDKRB1|623	BDKRB1	623		14	96722559	96735303	+
BDKRB2|624	BDKRB2	624		14	96671135	96710666	+
BDNFOS|497258	BDNFOS	497258		11	27528399	27719773	+
