unique	mir-name	mirbase-id	mir-type	chromosome	start-loc	end-loc	strand	pre-mir-names	pre-mirbase-ids
hsa-mir-4748|MI0017387	hsa-mir-4748	MI0017387	pre-mir	19	10780254	10780335	+		
hsa-mir-4749|MI0017388	hsa-mir-4749	MI0017388	pre-mir	19	49854591	49854651	+		
hsa-mir-4750|MI0017389	hsa-mir-4750	MI0017389	pre-mir	19	49888175	49888230	+		
hsa-mir-4751|MI0017390	hsa-mir-4751	MI0017390	pre-mir	19	49933064	49933137	+		
hsa-mir-4752|MI0017391	hsa-mir-4752	MI0017391	pre-mir	19	54282109	54282180	+		
hsa-mir-4753|MI0017392	hsa-mir-4753	MI0017392	pre-mir	1	235190034	235190116	-		
hsa-mir-371b|MI0017393	hsa-mir-371b	MI0017393	pre-mir	19	53787677	53787742	-		
hsa-mir-4754|MI0017394	hsa-mir-4754	MI0017394	pre-mir	19	58386770	58386858	-		
hsa-mir-4755|MI0017395	hsa-mir-4755	MI0017395	pre-mir	20	34049119	34049190	+		
hsa-mir-499b|MI0017396	hsa-mir-499b	MI0017396	pre-mir	20	34990400	34990472	-		
hsa-mir-4756|MI0017397	hsa-mir-4756	MI0017397	pre-mir	20	54068408	54068485	-		
hsa-mir-4757|MI0017398	hsa-mir-4757	MI0017398	pre-mir	2	19348429	19348505	+		
hsa-mir-4758|MI0017399	hsa-mir-4758	MI0017399	pre-mir	20	62332487	62332557	-		
hsa-mir-4759|MI0017400	hsa-mir-4759	MI0017400	pre-mir	21	26953961	26954043	+		
hsa-mir-4760|MI0017401	hsa-mir-4760	MI0017401	pre-mir	21	40212352	40212431	-		
hsa-mir-4761|MI0017402	hsa-mir-4761	MI0017402	pre-mir	22	19963753	19963834	+		
hsa-mir-4762|MI0017403	hsa-mir-4762	MI0017403	pre-mir	22	45760524	45760598	+		
hsa-mir-4763|MI0017404	hsa-mir-4763	MI0017404	pre-mir	22	46113566	46113657	+		
hsa-mir-4764|MI0017405	hsa-mir-4764	MI0017405	pre-mir	22	33436582	33436669	-		
hsa-mir-4765|MI0017406	hsa-mir-4765	MI0017406	pre-mir	2	32635255	32635331	+		
hsa-mir-4766|MI0017407	hsa-mir-4766	MI0017407	pre-mir	22	40813883	40813958	-		
hsa-mir-4767|MI0017408	hsa-mir-4767	MI0017408	pre-mir	X	7147860	7147937	+		
hsa-mir-4768|MI0017409	hsa-mir-4768	MI0017409	pre-mir	X	17425881	17425954	+		
hsa-mir-4769|MI0017410	hsa-mir-4769	MI0017410	pre-mir	X	47587429	47587505	+		
hsa-mir-4770|MI0017411	hsa-mir-4770	MI0017411	pre-mir	X	6383906	6383963	-		
hsa-mir-4771-1|MI0017412	hsa-mir-4771-1	MI0017412	pre-mir	2	87194786	87194859	+		
hsa-mir-4771-2|MI0017413	hsa-mir-4771-2	MI0017413	pre-mir	2	111771061	111771134	-		
hsa-mir-4772|MI0017414	hsa-mir-4772	MI0017414	pre-mir	2	102432289	102432366	+		
hsa-mir-4773-1|MI0017415	hsa-mir-4773-1	MI0017415	pre-mir	2	151368334	151368411	+		
hsa-mir-4773-2|MI0017416	hsa-mir-4773-2	MI0017416	pre-mir	2	151368334	151368411	-		
hsa-mir-4774|MI0017417	hsa-mir-4774	MI0017417	pre-mir	2	168582943	168583018	+		
hsa-mir-4775|MI0017418	hsa-mir-4775	MI0017418	pre-mir	2	207754807	207754881	+		
hsa-mir-4776-1|MI0017419	hsa-mir-4776-1	MI0017419	pre-mir	2	212926257	212926336	+		
hsa-mir-4776-2|MI0017420	hsa-mir-4776-2	MI0017420	pre-mir	2	212926257	212926336	-		
hsa-mir-4777|MI0017421	hsa-mir-4777	MI0017421	pre-mir	2	231362708	231362793	+		
hsa-mir-4778|MI0017422	hsa-mir-4778	MI0017422	pre-mir	2	66358249	66358328	-		
hsa-mir-4779|MI0017423	hsa-mir-4779	MI0017423	pre-mir	2	86193026	86193108	-		
hsa-mir-4780|MI0017424	hsa-mir-4780	MI0017424	pre-mir	2	88082519	88082599	-		
hsa-mir-4436b-1|MI0017425	hsa-mir-4436b-1	MI0017425	pre-mir	2	110086433	110086523	-		
hsa-mir-4781|MI0017426	hsa-mir-4781	MI0017426	pre-mir	1	54054079	54054154	+		
hsa-mir-4782|MI0017427	hsa-mir-4782	MI0017427	pre-mir	2	113721290	113721368	-		
hsa-mir-4783|MI0017428	hsa-mir-4783	MI0017428	pre-mir	2	127423537	127423618	-		
hsa-mir-4784|MI0017429	hsa-mir-4784	MI0017429	pre-mir	2	131491160	131491236	-		
hsa-mir-4785|MI0017430	hsa-mir-4785	MI0017430	pre-mir	2	160407810	160407882	-		
hsa-mir-1245b|MI0017431	hsa-mir-1245b	MI0017431	pre-mir	2	188978093	188978161	-		
hsa-mir-2467|MI0017432	hsa-mir-2467	MI0017432	pre-mir	2	239351724	239351804	-		
hsa-mir-4786|MI0017433	hsa-mir-4786	MI0017433	pre-mir	2	239943015	239943094	-		
hsa-mir-4787|MI0017434	hsa-mir-4787	MI0017434	pre-mir	3	50675080	50675163	+		
hsa-mir-4788|MI0017435	hsa-mir-4788	MI0017435	pre-mir	3	134437827	134437906	+		
hsa-mir-4789|MI0017436	hsa-mir-4789	MI0017436	pre-mir	3	175369540	175369621	+		
hsa-mir-4790|MI0017437	hsa-mir-4790	MI0017437	pre-mir	3	5250177	5250255	-		
hsa-mir-4791|MI0017438	hsa-mir-4791	MI0017438	pre-mir	3	19314848	19314931	-		
hsa-mir-4792|MI0017439	hsa-mir-4792	MI0017439	pre-mir	3	24521362	24521435	-		
hsa-mir-4793|MI0017440	hsa-mir-4793	MI0017440	pre-mir	3	48644194	48644280	-		
hsa-mir-4794|MI0017441	hsa-mir-4794	MI0017441	pre-mir	1	64579847	64579923	+		
hsa-mir-4795|MI0017442	hsa-mir-4795	MI0017442	pre-mir	3	87226189	87226277	-		
hsa-mir-4796|MI0017443	hsa-mir-4796	MI0017443	pre-mir	3	114743445	114743525	-		
hsa-mir-4797|MI0017444	hsa-mir-4797	MI0017444	pre-mir	3	197293878	197293948	-		
hsa-mir-4798|MI0017445	hsa-mir-4798	MI0017445	pre-mir	4	7310450	7310524	+		
hsa-mir-4799|MI0017446	hsa-mir-4799	MI0017446	pre-mir	4	147782595	147782668	+		
hsa-mir-3688-2|MI0017447	hsa-mir-3688-2	MI0017447	pre-mir	4	159128805	159128891	+		
hsa-mir-4800|MI0017448	hsa-mir-4800	MI0017448	pre-mir	4	2250077	2250156	-		
hsa-mir-4801|MI0017449	hsa-mir-4801	MI0017449	pre-mir	4	37241910	37241991	-		
hsa-mir-4802|MI0017450	hsa-mir-4802	MI0017450	pre-mir	4	40502040	40502119	-		
hsa-mir-4803|MI0017451	hsa-mir-4803	MI0017451	pre-mir	5	72169467	72169540	+		
hsa-mir-4804|MI0017452	hsa-mir-4804	MI0017452	pre-mir	5	72878591	72878663	+		
hsa-mir-5047|MI0017932	hsa-mir-5047	MI0017932	pre-mir	17	64501214	64501313	-		
hsa-mir-5095|MI0018001	hsa-mir-5095	MI0018001	pre-mir	1	52934930	52935017	+		
hsa-mir-1273f|MI0018002	hsa-mir-1273f	MI0018002	pre-mir	1	52928674	52928772	+		
hsa-mir-1273g|MI0018003	hsa-mir-1273g	MI0018003	pre-mir	1	52940314	52940413	+		
hsa-mir-5096|MI0018004	hsa-mir-5096	MI0018004	pre-mir	4	78820752	78820821	+		
hsa-mir-4999|MI0017865	hsa-mir-4999	MI0017865	pre-mir	19	8389290	8389380	-		
hsa-mir-5000|MI0017866	hsa-mir-5000	MI0017866	pre-mir	2	75090812	75090914	+		
hsa-mir-5001|MI0017867	hsa-mir-5001	MI0017867	pre-mir	2	232550474	232550573	-		
hsa-mir-5002|MI0017868	hsa-mir-5002	MI0017868	pre-mir	3	124132929	124133025	+		
hsa-mir-5003|MI0017869	hsa-mir-5003	MI0017869	pre-mir	5	172662165	172662263	+		
hsa-mir-5004|MI0017870	hsa-mir-5004	MI0017870	pre-mir	6	33438331	33438437	+		
hsa-mir-548ao|MI0017871	hsa-mir-548ao	MI0017871	pre-mir	8	41271048	41271143	-		
hsa-mir-5006|MI0017873	hsa-mir-5006	MI0017873	pre-mir	13	41568286	41568395	-		
hsa-mir-5007|MI0017874	hsa-mir-5007	MI0017874	pre-mir	13	55174454	55174548	+		
hsa-mir-548ap|MI0017875	hsa-mir-548ap	MI0017875	pre-mir	15	85825635	85825730	+		
hsa-mir-5008|MI0017876	hsa-mir-5008	MI0017876	pre-mir	1	227941590	227941683	-		
hsa-mir-5009|MI0017877	hsa-mir-5009	MI0017877	pre-mir	15	89883931	89884030	-		
hsa-mir-5010|MI0017878	hsa-mir-5010	MI0017878	pre-mir	17	42514188	42514307	+		
hsa-mir-5011|MI0017879	hsa-mir-5011	MI0017879	pre-mir	18	67081584	67081686	+		
hsa-mir-5087|MI0017976	hsa-mir-5087	MI0017976	pre-mir	1	148334479	148334554	-		
hsa-mir-5088|MI0017977	hsa-mir-5088	MI0017977	pre-mir	19	49682117	49682195	+		
hsa-mir-5089|MI0017978	hsa-mir-5089	MI0017978	pre-mir	17	46973017	46973100	+		
hsa-mir-5090|MI0017979	hsa-mir-5090	MI0017979	pre-mir	7	102465742	102465826	+		
hsa-mir-5091|MI0017980	hsa-mir-5091	MI0017980	pre-mir	4	13627865	13627957	+		
hsa-mir-5092|MI0017981	hsa-mir-5092	MI0017981	pre-mir	3	125151465	125151552	-		
hsa-mir-5093|MI0017982	hsa-mir-5093	MI0017982	pre-mir	16	85306226	85306325	-		
hsa-mir-5094|MI0017983	hsa-mir-5094	MI0017983	pre-mir	15	89850637	89850721	-		
hsa-mir-5186|MI0018165	hsa-mir-5186	MI0018165	pre-mir	3	151565876	151565995	-		
hsa-mir-5187|MI0018166	hsa-mir-5187	MI0018166	pre-mir	1	161227186	161227261	+		
hsa-mir-5188|MI0018167	hsa-mir-5188	MI0018167	pre-mir	12	124915547	124915659	+		
hsa-mir-5189|MI0018168	hsa-mir-5189	MI0018168	pre-mir	16	88468918	88469031	+		
hsa-mir-5190|MI0018169	hsa-mir-5190	MI0018169	pre-mir	18	13459947	13460026	+		
hsa-mir-5191|MI0018170	hsa-mir-5191	MI0018170	pre-mir	1	201719508	201719627	+		
hsa-mir-5192|MI0018171	hsa-mir-5192	MI0018171	pre-mir	2	62205826	62205917	+		
hsa-mir-5193|MI0018172	hsa-mir-5193	MI0018172	pre-mir	3	49806137	49806245	-		
hsa-mir-5194|MI0018173	hsa-mir-5194	MI0018173	pre-mir	8	130008334	130008453	-		
hsa-mir-5195|MI0018174	hsa-mir-5195	MI0018174	pre-mir	14	106850885	106850999	-		
hsa-mir-5196|MI0018175	hsa-mir-5196	MI0018175	pre-mir	19	35345513	35345627	+		
hsa-mir-5197|MI0018176	hsa-mir-5197	MI0018176	pre-mir	5	143679860	143679971	+		
hsa-mir-4436b-2|MI0019110	hsa-mir-4436b-2	MI0019110	pre-mir	2	110284853	110284943	+		
hsa-mir-4444-2|MI0019111	hsa-mir-4444-2	MI0019111	pre-mir	3	75214476	75214549	+		
hsa-mir-3670-2|MI0019112	hsa-mir-3670-2	MI0019112	pre-mir	16	16306370	16306434	+		
hsa-mir-3680-2|MI0019113	hsa-mir-3680-2	MI0019113	pre-mir	16	29599179	29599265	-		
hsa-mir-4524b|MI0019114	hsa-mir-4524b	MI0019114	pre-mir	17	69099542	69099656	+		
hsa-mir-5571|MI0019115	hsa-mir-5571	MI0019115	pre-mir	22	22886267	22886379	+		
hsa-mir-5100|MI0019116	hsa-mir-5100	MI0019116	pre-mir	10	42997563	42997681	+		
hsa-mir-5572|MI0019117	hsa-mir-5572	MI0019117	pre-mir	15	80581103	80581239	+		
hsa-mir-548aq|MI0019130	hsa-mir-548aq	MI0019130	pre-mir	3	185767847	185767904	-		
hsa-mir-548ar|MI0019131	hsa-mir-548ar	MI0019131	pre-mir	13	114244505	114244561	+		
hsa-mir-548as|MI0019132	hsa-mir-548as	MI0019132	pre-mir	13	92490163	92490220	+		
hsa-mir-5579|MI0019133	hsa-mir-5579	MI0019133	pre-mir	11	79422169	79422226	-		
hsa-mir-664b|MI0019134	hsa-mir-664b	MI0019134	pre-mir	X	154768596	154768656	+		
hsa-mir-5580|MI0019135	hsa-mir-5580	MI0019135	pre-mir	14	53948427	53948484	-		
hsa-mir-5581|MI0019136	hsa-mir-5581	MI0019136	pre-mir	1	37500935	37500994	-		
hsa-mir-548at|MI0019137	hsa-mir-548at	MI0019137	pre-mir	17	42494773	42494830	+		
hsa-mir-5582|MI0019138	hsa-mir-5582	MI0019138	pre-mir	11	46753125	46753192	-		
hsa-mir-5583-1|MI0019139	hsa-mir-5583-1	MI0019139	pre-mir	18	39676721	39676779	+		
hsa-mir-5583-2|MI0019140	hsa-mir-5583-2	MI0019140	pre-mir	18	39676719	39676777	-		
hsa-mir-5584|MI0019141	hsa-mir-5584	MI0019141	pre-mir	1	44545493	44545552	+		
hsa-mir-5585|MI0019142	hsa-mir-5585	MI0019142	pre-mir	1	32086949	32087007	+		
hsa-mir-5586|MI0019143	hsa-mir-5586	MI0019143	pre-mir	14	59646962	59647020	-		
hsa-mir-5587|MI0019144	hsa-mir-5587	MI0019144	pre-mir	16	535316	535368	+		
hsa-mir-548au|MI0019145	hsa-mir-548au	MI0019145	pre-mir	9	93594841	93594894	+		
hsa-mir-1295b|MI0019146	hsa-mir-1295b	MI0019146	pre-mir	1	171101739	171101798	+		
hsa-mir-5588|MI0019147	hsa-mir-5588	MI0019147	pre-mir	3	185253210	185253272	-		
hsa-mir-5589|MI0019148	hsa-mir-5589	MI0019148	pre-mir	19	10038354	10038413	+		
hsa-mir-4536-2|MI0019149	hsa-mir-4536-2	MI0019149	pre-mir	X	55451495	55451582	+		
hsa-mir-5590|MI0019150	hsa-mir-5590	MI0019150	pre-mir	2	134857820	134857873	+		
hsa-mir-5591|MI0019151	hsa-mir-5591	MI0019151	pre-mir	4	39411910	39411974	+		
hsa-mir-548av|MI0019152	hsa-mir-548av	MI0019152	pre-mir	18	72853321	72853382	-		
hsa-mir-5680|MI0019280	hsa-mir-5680	MI0019280	pre-mir	8	102125432	102125515	+		
hsa-mir-5681a|MI0019281	hsa-mir-5681a	MI0019281	pre-mir	8	74548543	74548617	+		
hsa-mir-5682|MI0019282	hsa-mir-5682	MI0019282	pre-mir	3	121049640	121049715	+		
hsa-mir-548aw|MI0019283	hsa-mir-548aw	MI0019283	pre-mir	9	132945707	132945771	+		
hsa-mir-5683|MI0019284	hsa-mir-5683	MI0019284	pre-mir	6	6169334	6169409	+		
hsa-mir-5684|MI0019285	hsa-mir-5684	MI0019285	pre-mir	19	12787128	12787192	+		
hsa-mir-548ax|MI0019286	hsa-mir-548ax	MI0019286	pre-mir	X	11318614	11318686	-		
hsa-mir-5685|MI0019287	hsa-mir-5685	MI0019287	pre-mir	6	53276993	53277071	+		
hsa-mir-5692c-1|MI0019288	hsa-mir-5692c-1	MI0019288	pre-mir	5	135802985	135803075	-		
hsa-mir-5692c-2|MI0019289	hsa-mir-5692c-2	MI0019289	pre-mir	7	97964405	97964481	-		
hsa-mir-5687|MI0019291	hsa-mir-5687	MI0019291	pre-mir	5	55508850	55508926	-		
hsa-mir-5688|MI0019292	hsa-mir-5688	MI0019292	pre-mir	3	85385710	85385792	+		
hsa-mir-5681b|MI0019293	hsa-mir-5681b	MI0019293	pre-mir	8	74548550	74548609	-		
hsa-mir-5689|MI0019294	hsa-mir-5689	MI0019294	pre-mir	6	10439717	10439794	+		
hsa-mir-5690|MI0019295	hsa-mir-5690	MI0019295	pre-mir	6	35664717	35664789	-		
hsa-mir-5691|MI0019296	hsa-mir-5691	MI0019296	pre-mir	11	9090312	9090379	-		
hsa-mir-5692a-1|MI0019297	hsa-mir-5692a-1	MI0019297	pre-mir	7	97963658	97963726	+		
hsa-mir-5692a-2|MI0019298	hsa-mir-5692a-2	MI0019298	pre-mir	8	12719132	12719190	+		
hsa-mir-4666b|MI0019299	hsa-mir-4666b	MI0019299	pre-mir	X	29574278	29574358	+		
hsa-mir-5693|MI0019300	hsa-mir-5693	MI0019300	pre-mir	13	51348567	51348639	-		
hsa-mir-5694|MI0019301	hsa-mir-5694	MI0019301	pre-mir	14	67441855	67441930	-		
hsa-mir-5695|MI0019302	hsa-mir-5695	MI0019302	pre-mir	19	12920320	12920404	+		
hsa-mir-5696|MI0019303	hsa-mir-5696	MI0019303	pre-mir	2	101309450	101309534	+		
hsa-mir-5697|MI0019304	hsa-mir-5697	MI0019304	pre-mir	1	9967381	9967458	+		
hsa-mir-5698|MI0019305	hsa-mir-5698	MI0019305	pre-mir	1	154104521	154104592	-		
hsa-mir-5699|MI0019306	hsa-mir-5699	MI0019306	pre-mir	10	641689	641778	-		
hsa-mir-5700|MI0019307	hsa-mir-5700	MI0019307	pre-mir	12	94561789	94561859	+		
hsa-mir-5701-1|MI0019308	hsa-mir-5701-1	MI0019308	pre-mir	15	20940252	20940333	+		
hsa-mir-5702|MI0019309	hsa-mir-5702	MI0019309	pre-mir	2	226658710	226658793	-		
hsa-mir-5703|MI0019310	hsa-mir-5703	MI0019310	pre-mir	2	227472132	227472187	+		
hsa-mir-5692b|MI0019311	hsa-mir-5692b	MI0019311	pre-mir	21	42950928	42951014	-		
hsa-mir-5704|MI0019312	hsa-mir-5704	MI0019312	pre-mir	3	131985855	131985931	-		
hsa-mir-5705|MI0019313	hsa-mir-5705	MI0019313	pre-mir	4	87300495	87300583	-		
hsa-mir-5706|MI0019314	hsa-mir-5706	MI0019314	pre-mir	5	119154637	119154716	+		
hsa-mir-5707|MI0019315	hsa-mir-5707	MI0019315	pre-mir	7	158591616	158591696	+		
hsa-mir-5708|MI0019316	hsa-mir-5708	MI0019316	pre-mir	8	80241389	80241473	+		
hsa-mir-5701-2|MI0019593	hsa-mir-5701-2	MI0019593	pre-mir	15	21513959	21514040	+		
hsa-mir-5739|MI0019412	hsa-mir-5739	MI0019412	pre-mir	22	28459869	28459948	+		
hsa-mir-5787|MI0019797	hsa-mir-5787	MI0019797	pre-mir	3	50227436	50227490	+		
hsa-mir-6068|MI0020345	hsa-mir-6068	MI0020345	pre-mir	1	63326925	63326984	-		
hsa-mir-6069|MI0020346	hsa-mir-6069	MI0020346	pre-mir	22	35336721	35336799	-		
hsa-mir-6070|MI0020347	hsa-mir-6070	MI0020347	pre-mir	21	43609887	43609989	-		
hsa-mir-6071|MI0020348	hsa-mir-6071	MI0020348	pre-mir	2	85783600	85783677	-		
hsa-mir-6072|MI0020349	hsa-mir-6072	MI0020349	pre-mir	10	2076019	2076089	-		
hsa-mir-6073|MI0020350	hsa-mir-6073	MI0020350	pre-mir	11	15969533	15969621	-		
hsa-mir-6074|MI0020351	hsa-mir-6074	MI0020351	pre-mir	12	66023620	66023726	-		
hsa-mir-6075|MI0020352	hsa-mir-6075	MI0020352	pre-mir	5	1510762	1510856	-		
hsa-mir-6076|MI0020353	hsa-mir-6076	MI0020353	pre-mir	14	49966399	49966511	+		
hsa-mir-6077|MI0020354	hsa-mir-6077	MI0020354	pre-mir	1	148388282	148388363	+		
hsa-mir-6078|MI0020355	hsa-mir-6078	MI0020355	pre-mir	10	3991160	3991259	+		
hsa-mir-6079|MI0020356	hsa-mir-6079	MI0020356	pre-mir	1	43838622	43838683	+		
hsa-mir-6080|MI0020357	hsa-mir-6080	MI0020357	pre-mir	17	64780759	64780824	+		
hsa-mir-6081|MI0020358	hsa-mir-6081	MI0020358	pre-mir	9	95065350	95065446	+		
hsa-mir-6082|MI0020359	hsa-mir-6082	MI0020359	pre-mir	4	171186184	171186292	+		
hsa-mir-6083|MI0020360	hsa-mir-6083	MI0020360	pre-mir	3	124374332	124374437	+		
hsa-mir-6084|MI0020361	hsa-mir-6084	MI0020361	pre-mir	1	20633679	20633788	+		
hsa-mir-6085|MI0020362	hsa-mir-6085	MI0020362	pre-mir	15	62343029	62343138	+		
hsa-mir-6086|MI0020363	hsa-mir-6086	MI0020363	pre-mir	X	13590292	13590346	+		
hsa-mir-6087|MI0020364	hsa-mir-6087	MI0020364	pre-mir	X	109054542	109054590	+		
hsa-mir-6088|MI0020365	hsa-mir-6088	MI0020365	pre-mir	19	45436654	45436704	+		
hsa-mir-6089-1|MI0020366	hsa-mir-6089-1	MI0020366	pre-mir	X	2609191	2609254	+		
hsa-mir-6090|MI0020367	hsa-mir-6090	MI0020367	pre-mir	11	128522390	128522449	+		
hsa-mir-6124|MI0021258	hsa-mir-6124	MI0021258	pre-mir	11	12163683	12163767	+		
hsa-mir-6125|MI0021259	hsa-mir-6125	MI0021259	pre-mir	12	62260359	62260454	+		
hsa-mir-6126|MI0021260	hsa-mir-6126	MI0021260	pre-mir	16	3485381	3485469	-		
hsa-mir-6127|MI0021271	hsa-mir-6127	MI0021271	pre-mir	1	22633258	22633366	-		
hsa-mir-6128|MI0021272	hsa-mir-6128	MI0021272	pre-mir	11	56743873	56743981	+		
hsa-mir-378j|MI0021273	hsa-mir-378j	MI0021273	pre-mir	17	37614931	37615039	-		
hsa-mir-6129|MI0021274	hsa-mir-6129	MI0021274	pre-mir	17	49288346	49288454	-		
hsa-mir-6130|MI0021275	hsa-mir-6130	MI0021275	pre-mir	21	23079284	23079392	+		
hsa-mir-6131|MI0021276	hsa-mir-6131	MI0021276	pre-mir	5	10478037	10478145	+		
hsa-mir-6132|MI0021277	hsa-mir-6132	MI0021277	pre-mir	7	117020211	117020319	+		
hsa-mir-6133|MI0021278	hsa-mir-6133	MI0021278	pre-mir	7	133290881	133290988	+		
hsa-mir-6134|MI0021279	hsa-mir-6134	MI0021279	pre-mir	X	28495555	28495663	-		
hsa-mir-6165|MI0021472	hsa-mir-6165	MI0021472	pre-mir	17	49510817	49510900	+		
hsa-mir-6499|MI0022209	hsa-mir-6499	MI0022209	pre-mir	5	151522087	151522148	-		
hsa-mir-548ay|MI0022210	hsa-mir-548ay	MI0022210	pre-mir	3	32506283	32506389	-		
hsa-mir-6500|MI0022211	hsa-mir-6500	MI0022211	pre-mir	1	51060018	51060103	+		
hsa-mir-548az|MI0022212	hsa-mir-548az	MI0022212	pre-mir	8	119325171	119325265	+		
hsa-mir-6501|MI0022213	hsa-mir-6501	MI0022213	pre-mir	21	33550662	33550728	+		
hsa-mir-6502|MI0022214	hsa-mir-6502	MI0022214	pre-mir	12	66251082	66251157	+		
hsa-mir-6503|MI0022215	hsa-mir-6503	MI0022215	pre-mir	11	60209071	60209156	-		
hsa-mir-6504|MI0022216	hsa-mir-6504	MI0022216	pre-mir	16	81611348	81611408	+		
hsa-mir-6505|MI0022217	hsa-mir-6505	MI0022217	pre-mir	12	48132797	48132867	+		
hsa-mir-6506|MI0022218	hsa-mir-6506	MI0022218	pre-mir	16	15611030	15611095	-		
hsa-mir-6507|MI0022219	hsa-mir-6507	MI0022219	pre-mir	10	98924499	98924568	-		
hsa-mir-6508|MI0022220	hsa-mir-6508	MI0022220	pre-mir	21	39447010	39447069	+		
hsa-mir-6509|MI0022221	hsa-mir-6509	MI0022221	pre-mir	7	135206994	135207078	-		
hsa-mir-6510|MI0022222	hsa-mir-6510	MI0022222	pre-mir	17	41517164	41517217	-		
hsa-mir-6511a-1|MI0022223	hsa-mir-6511a-1	MI0022223	pre-mir	16	14925937	14926003	+		
hsa-mir-6512|MI0022224	hsa-mir-6512	MI0022224	pre-mir	2	177313806	177313882	-		
hsa-mir-6513|MI0022225	hsa-mir-6513	MI0022225	pre-mir	2	218280125	218280188	-		
hsa-mir-6514|MI0022226	hsa-mir-6514	MI0022226	pre-mir	11	62792702	62792771	-		
hsa-mir-6515|MI0022227	hsa-mir-6515	MI0022227	pre-mir	19	12940484	12940540	+		
hsa-mir-6715a|MI0022548	hsa-mir-6715a	MI0022548	pre-mir	10	112299612	112299690	+		
hsa-mir-6715b|MI0022549	hsa-mir-6715b	MI0022549	pre-mir	10	112299612	112299688	-		
hsa-mir-6716|MI0022550	hsa-mir-6716	MI0022550	pre-mir	11	118644000	118644079	+		
hsa-mir-6717|MI0022551	hsa-mir-6717	MI0022551	pre-mir	14	21023314	21023386	-		
hsa-mir-6511b-1|MI0022552	hsa-mir-6511b-1	MI0022552	pre-mir	16	2106669	2106753	-		
hsa-mir-6718|MI0022553	hsa-mir-6718	MI0022553	pre-mir	18	3885353	3885432	+		
hsa-mir-6719|MI0022554	hsa-mir-6719	MI0022554	pre-mir	19	39829716	39829802	-		
hsa-mir-6720|MI0022555	hsa-mir-6720	MI0022555	pre-mir	6	1390314	1390411	-		
hsa-mir-6721|MI0022556	hsa-mir-6721	MI0022556	pre-mir	6	32170030	32170116	-		
hsa-mir-6722|MI0022557	hsa-mir-6722	MI0022557	pre-mir	9	136746893	136746970	-		
hsa-mir-6723|MI0022558	hsa-mir-6723	MI0022558	pre-mir	1	632325	632413	-		
hsa-mir-6724-1|MI0022559	hsa-mir-6724-1	MI0022559	pre-mir	21	8205315	8205406	+		
hsa-mir-892c|MI0022560	hsa-mir-892c	MI0022560	pre-mir	X	145992750	145992826	-		
hsa-mir-3690-2|MI0023561	hsa-mir-3690-2	MI0023561	pre-mir	Y	1293918	1293992	+		
hsa-mir-6089-2|MI0023563	hsa-mir-6089-2	MI0023563	pre-mir	Y	2609191	2609254	+		
hsa-mir-6511a-2|MI0023564	hsa-mir-6511a-2	MI0023564	pre-mir	16	16324588	16324654	+		
hsa-mir-6511a-3|MI0023565	hsa-mir-6511a-3	MI0023565	pre-mir	16	16368876	16368942	+		
hsa-mir-6511a-4|MI0023566	hsa-mir-6511a-4	MI0023566	pre-mir	16	18344013	18344079	-		
hsa-mir-1199|MI0020340	hsa-mir-1199	MI0020340	pre-mir	19	14073361	14073479	+		
hsa-mir-6726|MI0022571	hsa-mir-6726	MI0022571	pre-mir	1	1296110	1296170	-		
hsa-mir-6727|MI0022572	hsa-mir-6727	MI0022572	pre-mir	1	1312502	1312566	-		
hsa-mir-6728|MI0022573	hsa-mir-6728	MI0022573	pre-mir	1	8866502	8866590	-		
hsa-mir-6729|MI0022574	hsa-mir-6729	MI0022574	pre-mir	1	12029158	12029222	+		
hsa-mir-6730|MI0022575	hsa-mir-6730	MI0022575	pre-mir	1	12578957	12579023	-		
hsa-mir-6731|MI0022576	hsa-mir-6731	MI0022576	pre-mir	1	24919345	24919416	-		
hsa-mir-6732|MI0022577	hsa-mir-6732	MI0022577	pre-mir	1	37480230	37480289	+		
hsa-mir-6733|MI0022578	hsa-mir-6733	MI0022578	pre-mir	1	43171652	43171712	-		
hsa-mir-6734|MI0022579	hsa-mir-6734	MI0022579	pre-mir	1	43364648	43364715	-		
hsa-mir-6735|MI0022580	hsa-mir-6735	MI0022580	pre-mir	1	43448539	43448611	+		
hsa-mir-6736|MI0022581	hsa-mir-6736	MI0022581	pre-mir	1	145850587	145850645	-		
hsa-mir-6737|MI0022582	hsa-mir-6737	MI0022582	pre-mir	1	153962351	153962420	-		
hsa-mir-6738|MI0022583	hsa-mir-6738	MI0022583	pre-mir	1	155951273	155951336	-		
hsa-mir-6739|MI0022584	hsa-mir-6739	MI0022584	pre-mir	1	201863373	201863447	+		
hsa-mir-6740|MI0022585	hsa-mir-6740	MI0022585	pre-mir	1	202003124	202003236	+		
hsa-mir-6741|MI0022586	hsa-mir-6741	MI0022586	pre-mir	1	225922080	225922142	-		
hsa-mir-6742|MI0022587	hsa-mir-6742	MI0022587	pre-mir	1	228397048	228397109	-		
hsa-mir-6743|MI0022588	hsa-mir-6743	MI0022588	pre-mir	11	209336	209406	+		
hsa-mir-6744|MI0022589	hsa-mir-6744	MI0022589	pre-mir	11	1256605	1256670	+		
hsa-mir-6745|MI0022590	hsa-mir-6745	MI0022590	pre-mir	11	47179611	47179737	-		
hsa-mir-6746|MI0022591	hsa-mir-6746	MI0022591	pre-mir	11	61878216	61878278	-		
