probe-id	chromosome	start	stop	strand	genes
cg03386722	17	82098640	82098642	+	FASN
cg03386869	13	101452496	101452498	+	ITGBL1
cg03386903	17	7929160	7929162	-	AC104581.2;KCNAB3
cg03387497	20	17700299	17700301	-	BANF2
cg03387723	1	41242791	41242793	-	AC093151.2;AC093151.7;SCMH1
cg03388193	10	99236312	99236314	+	HPSE2
cg03389111	12	75511591	75511593	-	KRR1
cg03389133	22	37212570	37212572	-	SSTR3
cg03389164	14	93957525	93957527	+	ASB2
cg03390211	16	275825	275827	-	RGS11;Z69667.1
cg03391040	19	37078370	37078372	-	AC010632.1;ZNF420
cg03391568	3	46876775	46876777	+	MYL3;PTH1R
cg03392046	2	37084514	37084516	+	GPATCH11;HEATR5B
cg03395546	19	40716693	40716695	+	COQ8B;ITPKC
cg03395898	14	75981667	75981669	-	IFT43;TGFB3
cg03396229	8	138914327	138914329	-	COL22A1
cg03399459	10	46375821	46375823	+	AC244230.1;AC244230.2;ANXA8L1
cg03399971	12	57435063	57435065	-	INHBC
cg03400060	5	79069977	79069979	+	BHMT2;DMGDH
cg03401114	1	39789767	39789769	-	AL033527.2;BMP8B
cg03402775	3	108589299	108589301	-	CIP2A;DZIP3
cg03402876	2	10911864	10911866	-	KCNF1
cg03403539	7	23182059	23182061	+	NUP42
cg03404502	13	99259571	99259573	+	GPR18;UBAC2
cg03405173	19	11766905	11766907	+	ZNF441
cg03406535	1	9996898	9996900	-	RBP7
cg03409548	1	46617018	46617020	+	MKNK1;MOB3C
cg03410718	19	647422	647424	+	NA
cg03411288	10	11823805	11823807	+	PROSER2
cg03414321	20	32052218	32052220	+	HCK
cg03415518	12	97491950	97491952	+	AC007351.2;AC007351.3;MIR1251;RMST
cg03417317	10	102461242	102461244	+	MFSD13A
cg03417466	11	89177249	89177251	-	TYR
cg03418289	1	145957947	145957949	-	AC243547.3;LIX1L;LIX1L-AS1
cg03421300	1	26863295	26863297	+	SFN
cg03421687	3	50345819	50345821	-	ZMYND10
cg03422350	6	39927931	39927933	+	MOCS1
cg03423524	11	65900452	65900454	+	FOSL1
cg03424436	20	35455842	35455844	-	CEP250;GDF5
cg03425110	10	69573280	69573282	+	NEUROG3
cg03426225	18	10697033	10697035	+	PIEZO2
cg03427564	22	41093046	41093048	+	EP300
cg03427831	1	11807395	11807397	+	CLCN6;MTHFR
cg03428000	13	19633629	19633631	+	MPHOSPH8
cg03429034	7	100015481	100015483	+	ZKSCAN1
cg03429582	11	66638840	66638842	+	RBM14-RBM4;RBM4
cg03430067	19	13906113	13906115	-	C19orf57;CC2D1A
cg03430998	4	38805435	38805437	-	TLR1
cg03431064	9	137241113	137241115	-	TUBB4B
cg03437318	12	56080390	56080392	+	ERBB3
cg03438515	3	9249527	9249529	+	SRGAP3;SRGAP3-AS4
cg03438904	3	197791286	197791288	+	LRCH3
cg03439703	11	14643444	14643446	+	PDE3B;PSMA1
cg03439805	12	108730966	108730968	-	CORO1C
cg03440267	6	6320827	6320829	+	F13A1
cg03440846	20	34874556	34874558	+	ACSS2
cg03442064	6	41547311	41547313	-	FOXP4;FOXP4-AS1
cg03443922	7	107744265	107744267	-	AC002467.1;CBLL1
cg03445474	11	34051454	34051456	-	AC090469.1;CAPRIN1
cg03445896	X	78755067	78755069	+	LPAR4
cg03446863	6	41734687	41734689	+	TFEB
cg03447931	6	7726411	7726413	+	BMP6
cg03451296	14	105474053	105474055	+	CRIP2
cg03453449	12	95551343	95551345	+	PGAM1P5;USP44
cg03454353	9	113057083	113057085	-	ZFP37
cg03455024	16	56865270	56865272	-	SLC12A3
cg03455458	1	212951202	212951204	+	VASH2
cg03455762	X	129739498	129739500	-	XPNPEP2
cg03455874	12	124993682	124993684	+	BRI3BP
cg03458191	11	18248086	18248088	-	SAA2;SAA2-SAA4
cg03459809	1	225825308	225825310	+	EPHX1
cg03460527	1	94542560	94542562	-	F3
cg03460682	2	218781592	218781594	+	CYP27A1
cg03461495	2	219229496	219229498	-	ANKZF1;ATG9A
cg03462055	6	3227321	3227323	-	TUBB2B
cg03464416	X	154398637	154398639	+	AC245140.2;RPL10
cg03464655	2	164955471	164955473	+	AC019197.1;SLC38A11
cg03464689	4	102501271	102501273	-	AF213884.3;NFKB1
cg03465320	6	32855300	32855302	+	PSMB9;TAP1
cg03465847	X	40735684	40735686	-	MED14;MED14OS
cg03468463	18	63556330	63556332	-	SERPINB12
cg03469054	12	129903315	129903317	-	TMEM132D
cg03469082	4	46124430	46124432	+	GABRG1
cg03469158	11	102724363	102724365	-	MMP8
cg03473294	20	13639056	13639058	-	TASP1
cg03473518	13	20231516	20231518	+	GJB6
cg03474731	11	125625338	125625340	+	CHEK1
cg03475172	10	11612177	11612179	-	AL512631.2;USP6NL
cg03475420	22	20268143	20268145	+	RTN4R
cg03476195	4	113049588	113049590	+	ANK2;ANK2-AS1
cg03476370	11	78080190	78080192	+	NDUFC2;NDUFC2-KCTD14
cg03478689	5	84384898	84384900	+	EDIL3;EDIL3-DT
cg03479797	6	32128376	32128378	-	ATF6B
cg03479974	10	5890006	5890008	+	ANKRD16;FBH1
cg03482087	4	127965676	127965678	+	ABHD18;MFSD8
cg03483626	1	110675653	110675655	+	KCNA3
cg03483654	11	61334601	61334603	+	DDB1;TKFC
cg03484533	1	31373643	31373645	+	FABP3
cg03486540	19	44094221	44094223	+	ZNF224
cg03490115	2	74454844	74454846	+	INO80B;INO80B-WBP1
cg03490200	12	8822599	8822601	+	A2ML1;A2ML1-AS1
cg03491181	14	45135798	45135800	+	FANCM;FKBP3
cg03491478	11	45885362	45885364	-	MAPK8IP1
cg03493069	17	78782809	78782811	+	CYTH1
cg03494005	7	100586370	100586372	-	FBXO24;LRCH4
cg03495868	1	78491219	78491221	-	PTGFR
cg03496289	19	10569552	10569554	+	CDKN2D
cg03496978	1	224114657	224114659	-	FBXO28
cg03498559	4	69495343	69495345	-	UGT2B4
cg03499052	4	38867640	38867642	+	FAM114A1;MIR574
cg03503295	5	13944381	13944383	+	DNAH5
cg03503905	20	62065701	62065703	-	AL137077.2;TAF4
cg03504078	5	141100633	141100635	+	AC244517.2;PCDHB3
cg03504701	5	19980747	19980749	+	CDH18
cg03506489	11	30017240	30017242	+	KCNA4
cg03506684	X	2828655	2828657	-	GYG2
cg03506799	15	101252546	101252548	+	CHSY1
cg03509024	3	10142328	10142330	+	VHL
cg03510310	11	63563813	63563815	-	PLAAT2
cg03513163	5	141051563	141051565	+	AC244517.5;PCDHB1
cg03513363	20	31870941	31870943	+	DUSP15;TTLL9
cg03515901	Y	3579115	3579117	+	TGIF2LY
cg03517000	6	52804419	52804421	+	GSTA1
cg03518503	17	42676886	42676888	+	PLEKHH3
cg03519303	4	139015641	139015643	+	NOCT
cg03520136	2	157994787	157994789	+	UPP2
cg03521113	12	25051737	25051739	-	IRAG2
cg03521347	7	44490375	44490377	-	NUDCD3
cg03521600	8	120445259	120445261	-	MRPL13;MTBP
cg03522063	10	117542655	117542657	-	EMX2;EMX2OS
cg03522216	5	32174471	32174473	-	AC025181.2;GOLPH3
cg03522403	20	49188600	49188602	-	STAU1
cg03522910	1	161177806	161177808	+	B4GALT3;PPOX
cg03524308	19	37172511	37172513	+	AC012309.1;ZNF585A
cg03524627	20	3795835	3795837	-	CDC25B
cg03528946	9	38069802	38069804	-	AL138752.2;SHB
cg03529436	5	140174955	140174957	+	CYSTM1
cg03530967	2	186589571	186589573	-	ITGAV
cg03531512	22	26512710	26512712	+	TFIP11;Z95115.1
cg03532005	7	56051334	56051336	+	CCT6A;PSPH
cg03532114	2	61905752	61905754	-	COMMD1
cg03532879	20	38580751	38580753	+	ADIG
cg03532957	15	101251892	101251894	-	CHSY1
cg03533058	12	52043786	52043788	+	NR4A1
cg03533811	15	43585886	43585888	-	PPIP5K1
cg03533858	1	2392956	2392958	+	MORN1;RER1
cg03534410	3	12759612	12759614	-	TMEM40
cg03535648	12	102198700	102198702	-	HELLPAR;PMCH
cg03536003	4	67884017	67884019	+	TMPRSS11D;UBA6-AS1
cg03536787	5	177134445	177134447	+	NSD1
cg03538345	22	29883932	29883934	-	MTMR3
cg03538436	12	117361564	117361566	-	NOS1
cg03539474	2	171894577	171894579	+	SLC25A12
cg03543403	12	122226082	122226084	-	AC048338.1;AC048338.2;DIABLO
cg03543593	6	32108639	32108641	-	AL662884.2;AL662884.5;TNXB
cg03544320	4	5892963	5892965	-	CRMP1
cg03544379	19	14942011	14942013	+	OR7C2
cg03544525	1	207053218	207053220	+	PFKFB2;YOD1
cg03545635	7	2431915	2431917	-	CHST12
cg03547797	11	22668097	22668099	-	GAS2
cg03547924	20	35438146	35438148	-	GDF5
cg03548857	19	35449271	35449273	+	FFAR2
cg03549127	2	162344071	162344073	+	GCA
cg03549571	12	49094414	49094416	+	DHH
cg03550002	5	95555192	95555194	+	ARSK;TTC37
cg03550508	22	24555797	24555799	+	AP000356.5;GUCD1;SNRPD3
cg03552103	2	109615424	109615426	-	SEPTIN10;SOWAHC
cg03552688	3	139103526	139103528	+	BPESC1;MRPS22
cg03554552	19	45404887	45404889	+	PPP1R13L
cg03554914	10	27155975	27155977	+	MASTL;YME1L1
cg03555203	19	31279281	31279283	-	TSHZ3
cg03555909	11	60914557	60914559	-	AP003721.3;TMEM109
cg03556497	20	38724148	38724150	+	SLC32A1
cg03557698	1	54806247	54806249	-	LEXM
cg03557733	17	43907814	43907816	-	MPP2
cg03558299	20	49046059	49046061	-	CSE1L;CSE1L-AS1
cg03558807	5	112160283	112160285	+	EPB41L4A;EPB41L4A-AS1;SNORA13
cg03560090	19	35628849	35628851	+	RBM42
cg03560597	22	30668020	30668022	-	AC003072.2;DUSP18;SLC35E4
cg03561565	8	98426395	98426397	-	KCNS2;STK3
cg03562120	20	44715355	44715357	+	CCN5;KCNK15-AS1
cg03563403	9	35079884	35079886	+	FANCG;VCP
cg03564506	7	98878277	98878279	+	TRRAP
cg03565081	14	23009760	23009762	+	C14orf93
cg03565323	17	16569551	16569553	-	ZNF287
cg03565782	1	181088677	181088679	+	IER5
cg03567830	20	62708518	62708520	-	NTSR1
cg03568064	11	45885948	45885950	-	MAPK8IP1
cg03568718	1	3663308	3663310	-	TP73;TP73-AS3
cg03569412	19	1593943	1593945	+	AC005943.1;MBD3
cg03569637	12	47215573	47215575	-	PCED1B;PCED1B-AS1
cg03570766	11	66026234	66026236	+	CATSPER1
cg03570976	16	66934572	66934574	+	CES2;CIAO2B
cg03572913	20	35699930	35699932	+	NFS1;ROMO1
cg03573747	3	186842827	186842829	+	ADIPOQ
cg03574115	1	43170887	43170889	+	CFAP57;EBNA1BP2
cg03574571	19	35329277	35329279	-	CD22
cg03575468	X	19344494	19344496	-	PDHA1
cg03578041	15	70854967	70854969	+	LARP6;LRRC49
cg03580247	17	44268119	44268121	-	SLC4A1
cg03580351	2	17754451	17754453	-	GEN1;SMC6
cg03580876	22	46335776	46335778	+	TRMU
cg03582451	16	20805085	20805087	-	ERI2;REXO5
cg03583857	1	207911676	207911678	-	AL356275.1;CD34
cg03584220	1	168576265	168576267	+	XCL1
cg03584646	2	101060050	101060052	-	TBC1D8
cg03586029	4	127965693	127965695	+	ABHD18;MFSD8
cg03586879	16	6018829	6018831	-	RBFOX1
cg03588357	14	91253828	91253830	+	GPR68
cg03589001	15	78872371	78872373	+	MORF4L1
cg03591238	11	65118085	65118087	-	AP003068.4;ZNHIT2
cg03591594	9	2621917	2621919	-	VLDLR;VLDLR-AS1
cg03592161	17	10697860	10697862	-	ADPRM;SCO1
cg03593419	4	46993456	46993458	+	GABRA4;GABRB1
cg03594044	8	33473207	33473209	-	FUT10
cg03595428	X	155070998	155071000	+	BRCC3;CMC4;MTCP1
cg03597525	19	51417180	51417182	-	SIGLEC10;SIGLEC10-AS1
cg03599338	22	24181346	24181348	+	SUSD2
cg03600318	10	79949234	79949236	+	AL512662.1;SFTPD
cg03600687	2	241559596	241559598	+	BOK;BOK-AS1
cg03602500	19	54536501	54536503	+	KIR3DX1
cg03604278	3	9880549	9880551	+	CIDEC
cg03605339	17	75109767	75109769	-	ARMC7
cg03605761	19	663972	663974	-	AC004156.1;RNF126
cg03606258	20	58851879	58851881	+	GNAS;GNAS-AS1
cg03608167	2	136118066	136118068	+	CXCR4
cg03608577	6	29374901	29374903	-	OR12D3;OR5V1
cg03608974	2	173075539	173075541	+	MAP3K20
cg03609102	11	1223302	1223304	-	MUC5B
cg03611555	14	37172394	37172396	-	SLC25A21;SLC25A21-AS1
cg03614513	1	115089416	115089418	+	TSPAN2
cg03614664	22	40950943	40950945	+	RBX1
cg03616357	4	155376789	155376791	+	AC097467.3;MAP9
cg03617367	14	73760227	73760229	+	MIDEAS
cg03617456	1	11100147	11100149	-	EXOSC10;EXOSC10-AS1
cg03619472	16	56452350	56452352	+	NUDT21;OGFOD1
cg03620376	19	54473124	54473126	-	CDC42EP5
cg03621001	19	16110908	16110910	+	RAB8A
cg03621406	19	9819688	9819690	+	FBXL12;RPL10P15;SNORA70
cg03622431	1	84399196	84399198	-	DNASE2B;UOX
cg03622689	21	44939775	44939777	-	FAM207A;LINC01547
cg03623878	13	113001245	113001247	-	MCF2L
cg03625911	1	203186608	203186610	+	CHI3L1
cg03626672	2	236570020	236570022	+	ACKR3
cg03627896	16	30923012	30923014	+	FBXL19;FBXL19-AS1
cg03630088	10	123892009	123892011	-	CPXM2
cg03630344	1	7771095	7771097	-	VAMP3
cg03631076	16	87951440	87951442	-	BANP
cg03633120	19	8322377	8322379	-	AC010323.1;NDUFA7;RPS28
cg03634234	7	152435132	152435134	+	FABP5P3;KMT2C
cg03634982	11	60280505	60280507	+	MS4A4A
cg03634997	16	90022874	90022876	+	GAS8
cg03636183	19	16889773	16889775	+	F2RL3
cg03640148	3	49007518	49007520	+	WDR6
cg03640568	22	38506617	38506619	-	DDX17
cg03640944	10	104334060	104334062	-	ITPRIP
cg03641225	1	68046855	68046857	-	DIRAS3;GNG12-AS1
cg03642357	22	25420588	25420590	-	NA
cg03642518	8	28317485	28317487	+	AC021678.2;PNOC
cg03643709	15	40894585	40894587	+	VPS18
cg03644378	17	7858140	7858142	+	AC104581.4;CYB5D1;NAA38
cg03648823	1	40449963	40449965	+	AL031985.4;ZFP69B
cg03649060	19	11554635	11554637	+	ELOF1
cg03651573	19	58543759	58543761	+	RN7SL525P;TRIM28
cg03652343	10	68075529	68075531	-	HERC4
cg03657766	2	172102285	172102287	+	DLX2;DLX2-DT
cg03658471	10	50623677	50623679	-	SGMS1;SGMS1-AS1
cg03658707	20	34260619	34260621	+	AL035458.2;ASIP
cg03660451	17	75668525	75668527	-	RECQL5;SAP30BP
cg03662459	9	34654292	34654294	+	AL162231.3;IL11RA
cg03663215	5	7396377	7396379	-	ADCY2
cg03663715	5	73449078	73449080	-	FOXD1
cg03664139	6	100881627	100881629	+	AL133338.1;ASCC3
cg03664800	8	23403798	23403800	-	ENTPD4;LOXL2
cg03664992	1	39491720	39491722	-	BMP8A
cg03665457	10	38356447	38356449	+	AL117339.4;HSD17B7P2
cg03665605	7	99466588	99466590	-	ATP5MF;ATP5MF-PTCD1;PTCD1
cg03665785	22	29062687	29062689	+	C22orf31
cg03667047	13	33015823	33015825	-	KL
cg03667091	3	179562957	179562959	+	ACTL6A
cg03668539	19	7488437	7488439	+	PEX11G
cg03670238	8	133190126	133190128	-	CCN4
cg03672021	X	154374289	154374291	-	AC245140.3;FLNA
cg03673470	1	237892128	237892130	-	AL359924.1;ZP4
cg03673687	14	99793466	99793468	-	EML1
cg03679305	1	9069427	9069429	-	SLC2A5
cg03679581	9	5304510	5304512	-	RLN2
cg03679734	15	43592891	43592893	-	CKMT1B
cg03680758	20	63740062	63740064	-	AL121845.2;SLC2A4RG
cg03681481	11	65787946	65787948	+	OVOL1
cg03682712	15	73926965	73926967	+	LOXL1;LOXL1-AS1
cg03682823	7	94657640	94657642	-	PEG10;SGCE
cg03684977	17	39737549	39737551	+	GRB7
cg03686067	18	68837151	68837153	-	CCDC102B
cg03688818	3	49673713	49673715	+	APEH
cg03690162	10	119650940	119650942	+	BAG3
cg03691812	16	30183094	30183096	-	CORO1A
cg03693099	9	133061513	133061515	+	CEL
cg03693601	16	46621436	46621438	+	SHCBP1
cg03694261	11	122883268	122883270	-	JHY
cg03695693	19	3932960	3932962	-	NMRK2
cg03697316	22	20982451	20982453	-	AC002470.1;AC002470.2;LZTR1
cg03698393	15	88895563	88895565	-	HAPLN3
cg03699566	11	72189607	72189609	+	AP000812.1;FOLR1
cg03699904	3	171028239	171028241	-	AC061708.1;SLC2A2
cg03700218	16	1782707	1782709	+	NUBP2;SPSB3
cg03700308	20	50958954	50958956	+	DPM1;MOCS3
cg03700462	7	27096064	27096066	-	AC004079.3;HOTAIRM1;HOXA1
cg03701222	16	589208	589210	-	RAB40C
cg03702236	5	9546642	9546644	+	SEMA5A;SNHG18
cg03703325	3	50569432	50569434	+	C3orf18;HEMK1
cg03704024	3	129880079	129880081	-	TMCC1
cg03704031	X	71492364	71492366	+	INGX;TAF1;Y_RNA
cg03704393	9	94279718	94279720	-	ZNF169
cg03704653	X	8801302	8801304	-	FAM9A
cg03705396	3	183825891	183825893	+	AC131160.1;MAP6D1
cg03707950	5	154037515	154037517	+	FAM114A2;MFAP3
cg03708463	2	3558740	3558742	-	AC108488.2;RNASEH1;RNASEH1-AS1
cg03712038	19	53103767	53103769	-	ZNF160
cg03712237	X	52751111	52751113	-	SSX2B
cg03712239	10	37976835	37976837	-	ZNF25;ZNF25-DT
cg03712708	9	89310969	89310971	-	CKS2;MIR3153
cg03712843	13	38991396	38991398	+	STOML3
cg03713346	16	57092894	57092896	+	AC009090.2;CPNE2
cg03714397	1	91353276	91353278	+	HFM1
cg03714916	6	36678108	36678110	-	CDKN1A;DINOL
cg03716937	8	39838342	39838344	-	ADAM2
cg03716942	1	1890541	1890543	-	AL109917.1;GNB1
cg03716999	1	6205741	6205743	-	RNF207;RNF207-AS1;RPL22
cg03717979	4	4860456	4860458	+	MSX1
cg03718026	8	56074860	56074862	+	CERNA3;RPS20;SNORD54
cg03718539	1	204151460	204151462	+	ETNK2
cg03718677	1	151175789	151175791	-	TMOD4
cg03721967	13	113355404	113355406	+	GRTP1;GRTP1-AS1
cg03723845	5	180899185	180899187	-	BTNL8
cg03724445	2	178451357	178451359	-	PJVK;PRKRA
cg03724463	3	42265031	42265033	-	AC018358.1;CCK
cg03724882	14	54397525	54397527	-	CDKN3
cg03727165	8	40153544	40153546	-	TCIM
cg03729431	17	15944949	15944951	+	ADORA2B
cg03731616	3	123884770	123884772	+	MYLK
cg03731898	2	206939356	206939358	-	CPO
cg03732056	8	21913547	21913549	-	DOK2
cg03732295	8	56994277	56994279	+	BPNT2
cg03732545	1	205043001	205043003	-	CNTN2
cg03733371	3	185552739	185552741	-	LIPH
cg03734660	1	156705529	156705531	+	CRABP2
cg03734783	7	151048621	151048623	-	ASIC3
cg03734874	14	104605044	104605046	-	TMEM179
cg03735049	X	54440184	54440186	-	TSR2
cg03737135	10	14837645	14837647	+	AC069544.2;CDNF;HSPA14
cg03738331	4	3074577	3074579	+	HTT;HTT-AS
cg03738959	9	37904297	37904299	-	AL138752.2;SLC25A51
cg03740216	19	10286884	10286886	+	AC011511.5;ICAM4
cg03740984	19	16572884	16572886	+	AC008764.1;AC008764.8;SLC35E1
cg03741352	1	152565970	152565972	-	LCE3E
cg03742003	4	20253640	20253642	-	SLIT2
cg03742214	12	107093604	107093606	-	AC078929.1;CRY1
cg03742272	17	8087386	8087388	+	ALOX12B;MIR4314
cg03743584	10	133347403	133347405	-	AL360181.1;PRAP1;ZNF511-PRAP1
cg03746685	11	85629043	85629045	+	DLG2;TMEM126B
cg03747695	19	44212488	44212490	+	ZNF227
cg03750407	11	67392298	67392300	+	RAD9A
cg03750606	1	217089635	217089637	+	ESRRG
cg03751414	7	101154527	101154529	+	AP1S1
cg03751799	3	133805592	133805594	+	AC080128.2;SRPRB
cg03751813	19	37210490	37210492	+	AC012309.1;ZNF585B
cg03752087	19	15052658	15052660	-	CASP14
cg03752628	1	116910887	116910889	+	AL157904.1;PTGFRN
cg03752689	1	209784839	209784841	-	C1orf74
cg03752885	19	3969737	3969739	-	DAPK3
cg03754063	19	10504522	10504524	+	KEAP1
cg03755123	10	133230003	133230005	-	UTF1
cg03756121	11	6481205	6481207	+	AC084337.2;ARFIP2;TIMM10B
cg03759077	2	152719084	152719086	+	ARL6IP6;PRPF40A
cg03760483	17	6995977	6995979	+	AC040977.1;AC040977.2;ALOX12;ALOX12-AS1
cg03760705	22	31160333	31160335	+	MIR3928;RNF185
cg03761560	10	72355101	72355103	-	DNAJB12
cg03762535	1	119368856	119368858	+	HAO2;HAO2-IT1
cg03763616	19	50418739	50418741	-	AC020909.1;SPIB
cg03764161	11	59144853	59144855	+	FAM111A
cg03764352	12	22625054	22625056	+	AC087241.2;ETNK1
cg03764506	11	64304616	64304618	+	CATSPERZ;ESRRA;KCNK4-TEX40
cg03764585	1	203351094	203351096	+	FMOD
cg03766965	16	30707121	30707123	+	AC106886.5;SRCAP
cg03766998	18	12378044	12378046	-	AFG3L2
cg03770147	2	207165111	207165113	+	KLF7;MIR7845;MYOSLID
cg03770548	14	23055830	23055832	-	CDH24
cg03771255	4	151099787	151099789	+	RPS3A
cg03773789	8	143266774	143266776	+	AC138696.1;GLI4
cg03774732	19	39391553	39391555	-	MED29;PAF1
cg03775123	15	64921875	64921877	+	AC069368.1;ANKDD1A
cg03775246	5	111759351	111759353	+	NREP
cg03775422	7	54542498	54542500	-	VSTM2A
cg03776060	9	131097187	131097189	-	AIF1L
cg03776464	2	221572226	221572228	-	AC079834.1;EPHA4
cg03776551	18	35376885	35376887	+	ZNF396
cg03776850	16	1256870	1256872	-	AC120498.2;TPSD1
cg03777405	17	48048470	48048472	+	NFE2L1;NFE2L1-DT
cg03777459	20	62476745	62476747	+	AL499627.2;GATA5
cg03780486	11	6796048	6796050	-	OR6A2
cg03780733	5	141172787	141172789	+	AC244517.11;AC244517.2;PCDHB7
cg03782453	4	7042207	7042209	+	AC097382.2;CCDC96;TADA2B
cg03782727	19	35351682	35351684	-	FFAR1
cg03785807	3	81761901	81761903	+	GBE1
cg03786772	6	87702681	87702683	-	AKIRIN2
cg03787486	4	99088338	99088340	-	ADH5;AP002026.1
cg03788666	15	43824630	43824632	+	MFAP1
cg03789934	19	55831298	55831300	+	NLRP11
cg03790207	6	42979370	42979372	-	PEX6
cg03790787	6	170612199	170612201	-	NA
cg03791917	X	101386298	101386300	+	BTK
cg03792199	7	27663165	27663167	+	HIBADH
cg03792653	20	38033045	38033047	+	RPRD1B;TTI1
cg03793131	1	43367875	43367877	+	ELOVL1
cg03793778	19	38774079	38774081	-	LGALS7
cg03794550	11	22625050	22625052	-	FANCF;GAS2
cg03799530	12	111405410	111405412	+	SH2B3
cg03801144	9	125189677	125189679	+	PPP6C
cg03801286	21	34512209	34512211	-	KCNE1
cg03802191	1	234479422	234479424	-	TARBP1
cg03802231	8	43056504	43056506	-	AC110275.1;FNTA
cg03803009	17	74367494	74367496	-	GPR142
cg03803589	14	52729890	52729892	-	STYX
cg03804500	9	137187519	137187521	-	ANAPC2;SSNA1
cg03804568	22	39152913	39152915	-	CBX7
cg03804985	9	127397414	127397416	-	SLC2A8
cg03805364	11	117144459	117144461	+	AP005018.1;PAFAH1B2
cg03805442	17	33293675	33293677	-	ASIC2
cg03805684	11	61793746	61793748	-	FADS2;FEN1;MIR611;TMEM258
cg03807235	6	136823060	136823062	+	PEX7
cg03807314	10	30433748	30433750	-	MAP3K8
cg03808835	10	54801184	54801186	+	PCDH15
cg03809891	19	12365699	12365701	-	ZNF442
cg03811411	5	156326605	156326607	-	SGCD
cg03811478	3	137764853	137764855	-	SOX14
cg03812067	20	44521999	44522001	-	SERINC3
cg03812679	17	40014378	40014380	-	AC090844.3;CSF3
cg03813215	18	63319445	63319447	-	BCL2
cg03813905	8	124538832	124538834	+	NDUFB9;TATDN1
cg03814826	22	31945391	31945393	+	C22orf24;YWHAH;Z82190.2
cg03815350	12	53269257	53269259	-	ESPL1
cg03817621	10	50885638	50885640	+	A1CF
cg03818682	11	1192233	1192235	+	MUC5AC
cg03819692	16	89159230	89159232	-	ACSF3;LINC00304
cg03820909	10	125719409	125719411	-	AL158835.2;AL158835.3;EDRF1;EDRF1-DT
cg03821311	6	27868239	27868241	+	H1-5
cg03822011	11	22625174	22625176	-	FANCF;GAS2
cg03822159	12	123382835	123382837	+	KMT5A
cg03825921	1	229271769	229271771	+	AL162595.1;RAB4A
cg03826976	11	7674201	7674203	-	CYB5R2
cg03830408	11	126303754	126303756	+	AP001318.2;DCPS
cg03833068	6	27837179	27837181	-	H2BC15
cg03833566	3	49803653	49803655	+	INKA1
cg03833774	X	78658651	78658653	-	RTL3
cg03835158	8	51861046	51861048	+	PCMTD1
cg03835292	22	37580623	37580625	-	LGALS2
cg03835296	6	25830693	25830695	+	SLC17A1
cg03835332	15	43777319	43777321	+	AC018512.1;ELL3;SERF2
cg03837750	1	74198475	74198477	+	FPGT;FPGT-TNNI3K;LRRIQ3
cg03839341	2	26033620	26033622	-	RAB10
cg03839972	2	73926672	73926674	+	DGUOK
cg03840259	22	39901031	39901033	-	GRAP2
cg03841029	18	50281338	50281340	-	MBD1
cg03842617	7	150991467	150991469	-	NOS3
cg03843852	15	55318900	55318902	+	PIGB;PIGBOS1;RAB27A
cg03843951	7	50561936	50561938	+	DDC
cg03843978	4	4862897	4862899	+	MSX1
cg03845435	1	111472820	111472822	+	C1orf162
cg03846288	15	58987649	58987651	+	RNF111
cg03846767	1	3690727	3690729	-	TP73
cg03847636	4	7068904	7068906	+	GRPEL1
cg03848145	1	85259018	85259020	+	C1orf52
cg03848555	9	74952444	74952446	+	C9orf40;CARNMT1-AS1
cg03848675	6	1388910	1388912	+	FOXF2
cg03849074	6	28350018	28350020	+	ZKSCAN3;ZSCAN31
cg03851112	11	66510886	66510888	-	AP002748.5;BBS1
cg03852144	5	95823934	95823936	-	GLRX;RHOBTB3
cg03852570	10	98415348	98415350	-	PYROXD2
cg03853151	10	124418917	124418919	-	OAT
cg03853987	2	100417816	100417818	-	CHST10
cg03854071	19	19515618	19515620	+	AC011448.1;NDUFA13;TSSK6
cg03855656	22	42500098	42500100	-	SERHL
cg03856450	2	73071751	73071753	-	SFXN5
cg03856723	19	14118653	14118655	+	AC022098.3;PRKACA
cg03856786	19	58363133	58363135	-	AC012313.3;AC012313.6;RNA5SP473;ZNF497
cg03856801	11	116838421	116838423	+	APOA1;APOA1-AS
cg03859282	16	4733753	4733755	+	AC020663.1;ANKS3;C16orf71
cg03860051	10	123009091	123009093	+	ACADSB;IKZF5
cg03860400	11	13463741	13463743	-	AC021269.3;BTBD10
cg03860466	19	12802126	12802128	-	HOOK2;PRDX2;THSD8
cg03860768	8	11494061	11494063	-	BLK
cg03860890	7	55018594	55018596	-	EGFR
cg03861428	1	17054206	17054208	-	SDHB
cg03862540	18	9614207	9614209	-	PPP4R1;PPP4R1-AS1
cg03862760	7	1569846	1569848	+	PSMG3;PSMG3-AS1
cg03863149	1	91021958	91021960	-	ZNF644
cg03863549	9	33474005	33474007	+	NOL6
cg03866607	17	61455464	61455466	-	TBX4
cg03870261	19	2428515	2428517	+	LMNB2;TIMM13
cg03870862	8	143542054	143542056	-	AC067930.3;AC067930.9;RN7SKP175;ZC3H3
cg03872267	15	88467972	88467974	-	AC013489.1;MRPL46;MRPS11
cg03872376	1	237890527	237890529	-	AL359924.1;ZP4
cg03873930	20	63709311	63709313	+	AL121845.3;ARFRP1;ZGPAT
cg03874127	6	108847931	108847933	-	ARMC2
cg03874199	2	176099727	176099729	+	HOXD12
cg03874886	2	74482503	74482505	+	CCDC142;TTC31
